AX,AY,AZ,GX,GY,GZ,Type
2.12,1.69,-9.22,0,0.02,-0.01,0
2.09,1.69,-9.21,-0.01,0.01,-0.01,0
2.14,1.7,-9.22,0,0.02,-0.01,0
2.12,1.69,-9.22,0,0.01,-0.01,0
2.13,1.68,-9.21,0,0.02,-0.01,0
2.15,1.68,-9.21,0,0.01,-0.01,0
2.13,1.71,-9.23,0,0.01,-0.01,0
2.14,1.69,-9.21,0,0.02,-0.01,0
2.12,1.68,-9.22,0,0.02,-0.01,0
2.13,1.7,-9.22,0,0.01,-0.01,0
2.1,1.67,-9.24,0,0.01,-0.01,0
2.12,1.7,-9.2,0,0.01,-0.01,0
2.13,1.7,-9.21,0,0.01,-0.01,0
2.12,1.67,-9.22,0,0.01,-0.01,0
2.14,1.69,-9.21,0,0.02,-0.01,0
2.15,1.71,-9.22,0,0.01,-0.01,0
2.69,2.11,-8.95,0,0.02,-0.01,0
2.69,2.16,-8.98,0,0.01,-0.01,0
2.69,2.17,-8.98,0,0.02,-0.01,0
2.68,2.16,-8.99,0,0.01,-0.01,0
2.69,2.16,-8.99,0,0.01,-0.01,0
2.71,2.15,-8.98,0,0.02,-0.01,0
2.7,2.16,-8.98,0,0.02,-0.01,0
2.7,2.16,-8.97,0,0.01,-0.01,0
2.73,2.15,-8.95,0,0.02,-0.01,0
2.71,2.15,-8.98,0,0.02,-0.01,0
2.69,2.17,-8.96,0,0.02,-0.01,0
2.68,2.15,-8.97,0,0.02,-0.01,0
2.69,2.16,-8.97,0,0.02,-0.01,0
2.69,2.14,-8.98,0,0.01,-0.01,0
2.72,2.14,-8.97,0,0.01,-0.01,0
2.72,2.15,-8.96,0,0.02,-0.01,0
2.72,2.15,-8.97,0,0.01,-0.01,0
2.73,2.17,-8.97,0,0.01,-0.01,0
0.46,4.6,-8.48,0,0.02,-0.01,0
0.47,4.64,-8.47,0,0.01,-0.01,0
0.46,4.63,-8.44,0,0.01,-0.01,0
0.46,4.66,-8.44,0,0.01,-0.01,0
0.48,4.67,-8.43,0,0.01,-0.01,0
0.46,4.64,-8.43,0,0.02,-0.01,0
0.47,4.66,-8.44,0,0.01,-0.01,0
0.48,4.65,-8.43,0,0.02,-0.01,0
