AX,AY,AZ,GX,GY,GZ,Type
-3.78,-1.16,-8.84,-0.07,0.07,-0.02,4.0
2.81,1.71,-9.06,0.0,0.01,-0.01,3.0
2.09,5.41,-7.91,-0.01,-0.01,-0.01,2.0
6.51,-6.24,-3.48,0.0,0.02,-0.01,1.0
2.83,1.69,-9.05,0.0,0.01,-0.01,3.0
6.28,4.45,-5.85,-0.01,0.03,-0.03,0.0
0.46,4.66,-8.44,0.0,0.01,-0.01,0.0
2.84,1.7,-9.04,0.0,0.01,-0.01,3.0
2.82,1.69,-9.06,0.0,0.01,-0.01,3.0
0.86,4.25,-8.57,0.0,0.02,-0.01,0.0
2.82,1.69,-9.07,0.0,0.01,-0.01,3.0
2.82,1.7,-9.06,0.0,0.01,-0.01,3.0
-3.21,-3.09,-8.51,0.01,0.01,-0.01,4.0
-9.6,1.35,-1.51,0.0,0.02,-0.01,1.0
-2.38,1.47,-9.22,0.02,0.01,-0.01,2.0
0.92,4.28,-8.6,0.0,0.01,-0.01,0.0
2.81,1.68,-9.02,0.0,0.01,-0.01,3.0
-2.83,-1.81,-9.0,-0.05,0.0,0.08,4.0
-0.93,4.8,-8.32,0.0,0.02,-0.01,0.0
2.83,1.69,-9.04,0.0,0.01,-0.01,3.0
2.8,1.68,-9.04,0.0,0.02,-0.01,3.0
2.81,1.68,-9.04,0.0,0.01,-0.01,3.0
2.83,1.67,-9.03,0.0,0.02,-0.01,3.0
2.82,1.67,-9.05,0.0,0.01,-0.01,3.0
-0.97,4.81,-8.34,0.0,0.01,-0.01,0.0
2.82,1.67,-9.03,0.0,0.01,-0.01,3.0
2.81,1.68,-9.04,0.0,0.01,-0.01,3.0
2.8,1.69,-9.04,0.0,0.01,-0.01,3.0
2.82,1.66,-9.02,0.0,0.01,-0.01,3.0
2.81,1.67,-9.04,0.0,0.02,-0.01,3.0
2.82,1.7,-9.06,0.0,0.01,-0.01,3.0
2.13,1.7,-9.22,0.0,0.01,-0.01,0.0
-9.4,2.31,-1.41,0.0,0.01,-0.01,1.0
-9.39,2.32,-1.46,0.0,0.01,-0.01,1.0
1.9,4.8,-8.12,0.0,0.02,0.0,0.0
2.8,1.68,-9.04,0.0,0.02,-0.01,3.0
2.82,1.7,-9.06,0.0,0.01,-0.01,3.0
0.5,4.67,-8.44,0.0,0.01,-0.01,0.0
1.65,0.04,-9.43,0.0,0.02,-0.01,0.0
1.56,-4.1,-8.53,0.01,0.02,-0.01,2.0
-4.93,-4.16,-7.17,0.0,0.01,-0.01,4.0
2.21,2.98,-8.88,0.0,0.02,-0.01,0.0
2.81,1.69,-9.03,0.0,0.01,-0.01,3.0
2.81,1.7,-9.04,0.0,0.01,-0.01,3.0
1.02,3.87,-8.78,0.0,0.01,-0.01,0.0
2.81,1.7,-9.02,0.0,0.01,-0.01,3.0
2.8,1.69,-9.05,0.0,0.01,-0.01,3.0
2.81,1.69,-9.04,0.0,0.01,-0.01,3.0
-9.41,2.3,-1.43,0.0,0.01,-0.01,1.0
0.98,3.96,-8.73,0.0,0.02,-0.01,0.0
2.81,1.67,-9.04,0.0,0.01,-0.01,3.0
-2.84,-2.55,-8.91,0.02,-0.09,-0.01,4.0
-0.91,6.61,-7.04,0.04,-0.02,0.1,4.0
0.96,4.84,-8.24,0.0,0.01,-0.01,2.0
1.43,0.14,-9.46,0.0,0.02,-0.01,0.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
6.64,-6.18,-3.36,-0.01,0.02,-0.01,1.0
2.81,1.69,-9.04,0.0,0.01,-0.01,3.0
2.82,1.71,-9.03,0.0,0.01,-0.01,3.0
-9.39,2.3,-1.54,0.0,0.01,-0.01,1.0
2.81,1.69,-9.03,0.0,0.01,-0.01,3.0
6.6,-6.21,-3.33,0.0,0.01,-0.01,1.0
2.82,1.7,-9.06,0.0,0.01,-0.01,3.0
2.82,1.69,-9.02,0.0,0.01,-0.01,3.0
2.82,1.67,-9.04,0.0,0.02,-0.01,3.0
-2.87,-3.02,-8.67,0.0,0.01,-0.01,4.0
-1.52,-0.41,-9.49,-0.16,-0.05,-0.16,4.0
2.8,1.7,-9.04,0.0,0.01,-0.01,3.0
2.81,1.68,-9.05,0.0,0.01,-0.01,3.0
2.81,1.69,-9.02,0.0,0.01,-0.01,3.0
2.8,1.67,-9.02,0.0,0.01,-0.01,3.0
-6.81,-2.14,-4.08,-0.84,-3.79,0.24,4.0
2.82,1.7,-9.05,0.0,0.01,-0.01,3.0
-3.51,-0.88,-8.93,-0.02,0.02,-0.01,4.0
2.82,1.7,-9.06,0.0,0.01,-0.01,3.0
2.82,1.7,-9.04,0.0,0.01,-0.01,3.0
-0.99,6.38,-7.07,0.11,0.1,-0.22,4.0
6.64,-6.14,-3.37,0.0,0.02,-0.01,1.0
2.83,1.7,-9.03,0.0,0.01,-0.01,3.0
-2.89,3.49,-10.74,-0.36,0.06,0.09,4.0
2.83,1.69,-9.06,0.0,0.01,-0.01,3.0
-2.4,7.05,-6.21,0.0,0.02,-0.01,4.0
-2.85,-3.05,-8.67,-0.01,0.02,-0.01,4.0
-5.8,3.11,-7.1,0.0,0.01,-0.01,1.0
-3.8,-1.21,-8.77,-0.04,0.03,-0.01,4.0
2.8,1.68,-9.04,0.0,0.01,-0.01,3.0
2.82,1.7,-9.04,0.0,0.01,-0.01,3.0
-2.62,-3.22,-8.7,0.0,0.01,-0.01,4.0
2.82,1.68,-9.04,0.0,0.01,-0.01,3.0
2.82,1.69,-9.05,0.0,0.01,-0.01,3.0
3.86,2.74,-8.38,0.0,0.02,-0.01,0.0
0.78,6.01,-7.54,0.0,0.02,-0.01,0.0
-3.83,-1.26,-8.76,0.01,0.01,-0.01,4.0
-9.42,2.24,-1.51,0.0,0.02,-0.01,1.0
-3.79,-1.18,-8.8,-0.01,0.02,-0.01,4.0
3.24,1.17,-9.27,1.54,-0.68,0.09,2.0
3.84,2.7,-8.4,0.0,0.01,-0.01,0.0
1.01,3.88,-8.78,0.0,0.01,-0.01,0.0
2.81,1.69,-9.04,0.0,0.01,-0.01,3.0
2.81,1.67,-9.02,0.0,0.01,-0.01,3.0
2.82,1.72,-9.06,0.0,0.01,-0.01,3.0
2.82,1.69,-9.06,0.0,0.01,-0.01,3.0
2.82,1.68,-9.03,0.0,0.01,-0.01,3.0
2.84,1.7,-9.04,0.0,0.01,-0.01,3.0
2.8,1.68,-9.01,0.0,0.01,-0.01,3.0
2.81,1.68,-9.03,0.0,0.01,-0.01,3.0
0.06,0.96,-10.33,0.1,0.38,0.15,4.0
2.82,1.68,-9.07,0.0,0.01,-0.01,3.0
2.81,1.65,-9.02,0.0,0.02,-0.01,3.0
2.82,1.67,-9.05,0.0,0.01,-0.01,3.0
7.09,8.59,-20.05,1.49,-0.6,0.17,4.0
2.82,1.68,-9.05,0.0,0.01,-0.01,3.0
2.81,1.67,-9.02,0.0,0.01,-0.01,3.0
2.83,1.71,-9.08,0.0,0.01,-0.01,3.0
2.8,1.66,-9.02,0.0,0.01,-0.01,3.0
-9.43,2.32,-1.38,0.0,0.02,-0.01,1.0
1.06,0.6,-8.6,-0.4,1.4,-0.54,2.0
-2.84,-2.99,-8.7,-0.01,0.02,-0.01,4.0
-0.53,4.35,-11.33,0.09,-0.03,0.09,4.0
2.82,1.68,-9.02,0.0,0.01,-0.01,3.0
2.82,1.69,-9.06,0.0,0.01,-0.01,3.0
2.82,1.69,-9.03,0.0,0.01,-0.01,3.0
2.8,1.65,-9.03,0.0,0.02,-0.01,3.0
-4.43,-2.93,-7.87,-0.68,1.38,-0.38,4.0
2.81,1.68,-9.05,0.0,0.01,-0.01,3.0
1.08,-3.13,-9.58,-0.02,0.13,-0.01,2.0
1.64,0.04,-9.43,0.0,0.02,-0.01,0.0
2.8,1.68,-9.07,0.0,0.01,-0.01,3.0
2.8,1.68,-9.04,0.0,0.01,-0.01,3.0
-3.82,-1.24,-8.77,0.0,0.02,-0.01,4.0
2.83,1.7,-9.05,0.0,0.01,-0.01,3.0
2.14,1.7,-9.22,0.0,0.02,-0.01,0.0
2.8,1.7,-9.04,0.0,0.01,-0.01,3.0
2.82,1.7,-9.05,0.0,0.01,-0.01,3.0
2.82,1.67,-9.04,0.0,0.01,-0.01,3.0
2.83,1.69,-9.05,0.0,0.01,-0.01,3.0
-2.21,-2.36,-9.05,-0.01,0.01,-0.01,4.0
-4.94,-4.15,-7.19,0.0,0.01,-0.01,4.0
2.83,1.69,-9.07,0.0,0.01,-0.01,3.0
-3.58,-5.68,-7.04,-0.02,0.06,-0.09,4.0
-3.53,-1.29,-8.9,-0.01,0.02,-0.01,4.0
-3.81,-1.24,-8.78,0.02,0.01,-0.01,4.0
2.81,1.7,-9.04,0.0,0.02,-0.01,3.0
2.81,1.69,-9.04,0.0,0.01,-0.01,3.0
-3.52,-1.3,-8.88,0.0,0.01,-0.01,4.0
-3.81,-1.23,-8.78,-0.01,0.02,-0.01,4.0
2.81,1.68,-9.02,0.0,0.01,-0.01,3.0
5.55,-1.58,-7.25,0.57,0.11,-0.14,4.0
-3.79,-1.2,-8.8,-0.01,0.02,-0.01,4.0
2.84,1.69,-9.03,0.0,0.01,-0.01,3.0
2.79,1.7,-9.06,0.0,0.01,-0.01,3.0
-6.0,3.68,-6.65,0.0,0.02,-0.01,1.0
-9.47,2.1,-1.34,-0.01,0.02,-0.01,1.0
2.32,3.35,-8.72,0.0,0.01,-0.01,0.0
2.82,1.69,-9.05,0.0,0.01,-0.01,3.0
3.89,2.42,-11.76,-0.44,0.05,-0.75,4.0
2.34,3.35,-8.72,0.0,0.01,-0.01,0.0
2.8,1.68,-9.03,0.0,0.01,-0.01,3.0
1.62,-0.01,-9.44,0.0,0.02,-0.01,0.0
2.82,1.69,-9.04,0.0,0.01,-0.01,3.0
-1.19,4.97,-8.21,0.0,0.02,-0.01,0.0
5.52,4.8,-6.31,0.02,0.09,-0.04,4.0
1.74,4.72,-8.24,0.0,0.01,-0.01,0.0
2.81,1.67,-9.02,0.0,0.01,-0.01,3.0
-2.84,-3.03,-8.7,0.0,0.01,-0.01,4.0
-5.86,7.6,-6.88,0.11,0.28,0.11,4.0
-4.94,-4.13,-7.19,0.0,0.01,-0.01,4.0
2.8,1.67,-9.02,0.0,0.01,-0.01,3.0
-4.16,-4.97,-7.13,0.0,0.01,-0.01,4.0
-4.92,-4.16,-7.19,0.0,0.01,-0.01,4.0
2.82,1.69,-9.03,0.0,0.02,-0.01,3.0
-0.7,1.69,-9.37,-0.05,0.0,0.0,2.0
2.82,1.68,-9.04,0.0,0.02,-0.01,3.0
2.82,1.67,-9.03,0.0,0.01,-0.01,3.0
-9.48,2.12,-1.33,-0.01,0.02,-0.01,1.0
-9.41,2.24,-1.53,-0.01,0.02,-0.01,1.0
2.81,1.67,-9.02,0.0,0.02,-0.01,3.0
-4.02,-5.67,-6.71,0.0,0.01,-0.01,4.0
-2.17,-4.68,-7.78,0.49,-0.07,0.02,4.0
-5.88,3.23,-6.98,0.0,0.01,-0.01,1.0
2.83,1.67,-9.05,0.0,0.01,-0.01,3.0
2.14,-7.93,-5.19,-0.07,0.02,-0.02,2.0
